team_id,team_name,abbreviation,city,state,year_founded
1610612737,Atlanta Hawks,ATL,Atlanta,Atlanta,1949
1610612738,Boston Celtics,BOS,Boston,Massachusetts,1946
1610612739,Cleveland Cavaliers,CLE,Cleveland,Ohio,1970
1610612740,New Orleans Pelicans,NOP,New Orleans,Louisiana,2002
1610612741,Chicago Bulls,CHI,Chicago,Illinois,1966
1610612742,Dallas Mavericks,DAL,Dallas,Texas,1980
1610612743,Denver Nuggets,DEN,Denver,Colorado,1976
1610612744,Golden State Warriors,GSW,Golden State,California,1946
1610612745,Houston Rockets,HOU,Houston,Texas,1967
1610612746,Los Angeles Clippers,LAC,Los Angeles,California,1970
1610612747,Los Angeles Lakers,LAL,Los Angeles,California,1948
1610612748,Miami Heat,MIA,Miami,Florida,1988
1610612749,Milwaukee Bucks,MIL,Milwaukee,Wisconsin,1968
1610612750,Minnesota Timberwolves,MIN,Minnesota,Minnesota,1989
1610612751,Brooklyn Nets,BKN,Brooklyn,New York,1976
1610612752,New York Knicks,NYK,New York,New York,1946
1610612753,Orlando Magic,ORL,Orlando,Florida,1989
1610612754,Indiana Pacers,IND,Indiana,Indiana,1976
1610612755,Philadelphia 76ers,PHI,Philadelphia,Pennsylvania,1949
1610612756,Phoenix Suns,PHX,Phoenix,Arizona,1968
1610612757,Portland Trail Blazers,POR,Portland,Oregon,1970
1610612758,Sacramento Kings,SAC,Sacramento,California,1948
1610612759,San Antonio Spurs,SAS,San Antonio,Texas,1976
1610612760,Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma,1967
1610612761,Toronto Raptors,TOR,Toronto,Ontario,1995
1610612762,Utah Jazz,UTA,Utah,Utah,1974
1610612763,Memphis Grizzlies,MEM,Memphis,Tennessee,1995
1610612764,Washington Wizards,WAS,Washington,District of Columbia,1961
1610612765,Detroit Pistons,DET,Detroit,Michigan,1948
1610612766,Charlotte Hornets,CHA,Charlotte,North Carolina,1988
